"DOTA_Tooltip_Ability_item_sanya_flask"	        "Лечебное варево"
"DOTA_Tooltip_Ability_item_sanya_flask_upgrade_5_Description" "<h1>Активное: Стремительный и Ловкий Глоток + 1</h1> Каждый глоток исцеляет владельца на 60%% максимального здоровья в течение %duration% секунд, а также ускоряет на %msBuff% на %msBuffDuration% секунд и дает %evadePercent%%% универсального уклонения на %evadeBuffDuration% секунд, бутыль получает + 1 заряд. Если во время исцеления был получен урон, исцеление прерывается. Магия этой бутыли в том, что ты восполняешь один заряд после каждой выигранной битвы."
"DOTA_Tooltip_Ability_item_sanya_flask_upgrade_5_Note0" ""
"DOTA_Tooltip_Ability_item_sanya_flask_upgrade_5_Lore" "Панда-пивовар стала живой легендой королевства благодаря своим настойкам, рецеп каждой был крапотливо выверен Пандой и держится в строжайшем секрете. Даже лучшие из алхимиков годами ломали головы, чтобы разгадать секрет чудотворных эффектов этих отваров. Повезло, что один из них теперь твой!"

"DOTA_Tooltip_modifier_item_sanya_flask_heal" "Исцеление от глотка"
"DOTA_Tooltip_modifier_item_sanya_flask_heal_Description" "Глоток варева лечит тебя"

"DOTA_Tooltip_modifier_item_sanya_flask_ms" "Ускорение от глотка"
"DOTA_Tooltip_modifier_item_sanya_flask_ms_Description" "Глоток варева ускоряет тебя"

"DOTA_Tooltip_modifier_item_sanya_flask_evade" "Уклонение от глотка"
"DOTA_Tooltip_modifier_item_sanya_flask_evade_Description" "Глоток варева дает тебе универсальное уклонение"
